['a1', 'a331', 'a332', 'a333', 'a334', 'a338', 'a336', 'a337', 'a330', 'a339', 'a335', 'a329']
['a23', 'a108', 'a107', 'a106', 'a105', 'a104', 'a103', 'a102', 'a101', 'a100', 'a99', 'a98']
['a24', 'a97', 'a96', 'a119', 'a120', 'a121', 'a122', 'a146', 'a145', 'a144', 'a143', 'a142']
['a25', 'a141', 'a140', 'a139', 'a138', 'a137', 'a136', 'a95', 'a135', 'a133', 'a132', 'a131']
['a26', 'a130', 'a129', 'a128', 'a127', 'a126', 'a125', 'a124', 'a123', 'a134', 'a147', 'a94']
['a27', 'a92', 'a63', 'a62', 'a61', 'a60', 'a59', 'a58', 'a57', 'a56', 'a55', 'a54']
['a28', 'a53', 'a52', 'a51', 'a50', 'a49', 'a48', 'a47', 'a46', 'a45', 'a44', 'a43']
['a29', 'a42', 'a41', 'a64', 'a65', 'a66', 'a67', 'a91', 'a90', 'a89', 'a88', 'a87']
['a30', 'a86', 'a85', 'a84', 'a83', 'a82', 'a81', 'a93', 'a80', 'a78', 'a77', 'a76']
['a31', 'a75', 'a74', 'a73', 'a72', 'a71', 'a70', 'a69', 'a68', 'a79', 'a148', 'a149']
['a32', 'a150', 'a229', 'a228', 'a227', 'a226', 'a225', 'a224', 'a223', 'a222', 'a221', 'a220']
['a34', 'a219', 'a218', 'a217', 'a216', 'a215', 'a214', 'a213', 'a212', 'a211', 'a210', 'a209']
['a35', 'a208', 'a207', 'a230', 'a231', 'a232', 'a233', 'a257', 'a256', 'a255', 'a254', 'a253']
['a36', 'a252', 'a251', 'a250', 'a249', 'a248', 'a247', 'a206', 'a246', 'a244', 'a243', 'a242']
['a37', 'a241', 'a479', 'a239', 'a238', 'a237', 'a236', 'a235', 'a234', 'a245', 'a205', 'a204']
['a38', 'a203', 'a174', 'a173', 'a172', 'a171', 'a170', 'a169', 'a168', 'a167', 'a166', 'a165']
['a39', 'a164', 'a175', 'a163', 'a161', 'a160', 'a159', 'a158', 'a157', 'a156', 'a155', 'a154']
['a40', 'a153', 'a152', 'a151', 'a162', 'a259', 'a176', 'a178', 'a202', 'a201', 'a200', 'a199']
['a22', 'a258', 'a118', 'a117', 'a116', 'a115', 'a114', 'a113', 'a112', 'a111', 'a110', 'a109']
['a21', 'a407', 'a406', 'a405', 'a404', 'a403', 'a402', 'a401', 'a400', 'a411', 'a260', 'a240']
['a33', 'a418', 'a417', 'a416', 'a415', 'a414', 'a413', 'a398', 'a412', 'a410', 'a409', 'a408']
['a19', 'a306', 'a305', 'a304', 'a303', 'a302', 'a314', 'a301', 'a299', 'a298', 'a297', 'a296']
['a20', 'a319', 'a327', 'a326', 'a325', 'a324', 'a323', 'a322', 'a321', 'a320', 'a318', 'a317']
['a2', 'a340', 'a328', 'a341', 'a361', 'a343', 'a367', 'a366', 'a365', 'a364', 'a363', 'a362']
['a3', 'a316', 'a360', 'a359', 'a358', 'a357', 'a342', 'a356', 'a354', 'a353', 'a352', 'a351']
['a4', 'a350', 'a349', 'a348', 'a347', 'a346', 'a345', 'a344', 'a355', 'a315', 'a295', 'a313']
['a5', 'a284', 'a283', 'a282', 'a281', 'a280', 'a279', 'a278', 'a277', 'a276', 'a275', 'a274']
['a7', 'a273', 'a272', 'a271', 'a270', 'a269', 'a268', 'a267', 'a266', 'a265', 'a264', 'a263']
['a8', 'a262', 'a285', 'a286', 'a287', 'a288', 'a312', 'a311', 'a310', 'a309', 'a308', 'a307']
['a9', 'a368', 'a294', 'a293', 'a292', 'a291', 'a290', 'a289', 'a300', 'a369', 'a389', 'a371']
['a6', 'a373', 'a372', 'a383', 'a370', 'a397', 'a399', 'a423', 'a422', 'a421', 'a420', 'a419']
['a11', 'a450', 'a449', 'a448', 'a447', 'a446', 'a445', 'a444', 'a443', 'a442', 'a441', 'a440']
['a12', 'a439', 'a438', 'a437', 'a436', 'a435', 'a434', 'a433', 'a432', 'a431', 'a430', 'a429']
['a13', 'a428', 'a451', 'a452', 'a453', 'a454', 'a478', 'a477', 'a476', 'a475', 'a474', 'a473']
['a14', 'a472', 'a471', 'a470', 'a469', 'a468', 'a427', 'a467', 'a465', 'a464', 'a463', 'a462']
['a15', 'a461', 'a460', 'a459', 'a458', 'a457', 'a456', 'a455', 'a466', 'a426', 'a425', 'a424']
['a16', 'a395', 'a394', 'a393', 'a392', 'a391', 'a390', 'a261', 'a388', 'a387', 'a386', 'a385']
['a17', 'a396', 'a384', 'a382', 'a381', 'a380', 'a379', 'a378', 'a377', 'a376', 'a375', 'a374']
['a10', 'a198', 'a197', 'a196', 'a195', 'a194', 'a193', 'a192', 'a177', 'a191', 'a189', 'a188']
['a18', 'a187', 'a186', 'a185', 'a184', 'a183', 'a182', 'a181', 'a180', 'a179', 'a190', 'a480']
